Loading files and background images...
Calculating features...
Subwell 1:Time: 2.9951
Subwell 2:Time: 2.4872
Subwell 3:Time: 2.3077
Subwell 4:Time: 1.3973
Subwell 5:Time: 1.3279
Subwell 6:Time: 1.2631
Subwell 7:Time: 1.0540
Subwell 8:Time: 1.2117
Subwell 9:Time: 1.2071
Subwell 10:Time: 1.4162
Subwell 11:Time: 1.1013
Subwell 12:Time: 1.5960
Subwell 13:Time: 1.1707
Subwell 14:Time: 1.1507
Subwell 15:Time: 1.2317
Subwell 16:Time: 1.1571
Subwell 17:Time: 1.0932
Subwell 18:Time: 1.2028
Subwell 19:Time: 1.1990
Subwell 20:Time: 1.1274
Subwell 21:Time: 1.3032
Subwell 22:Time: 1.5995
Subwell 23:Time: 1.2379
Subwell 24:Time: 1.2459
Subwell 25:Time: 1.2178
Subwell 26:Time: 1.1586
Subwell 27:Time: 1.1143
Subwell 28:Time: 1.0498
Subwell 29:Time: 1.3708
Subwell 30:Time: 1.0841
Subwell 31:Time: 1.2982
Subwell 32:Time: 1.1922
Subwell 33:Time: 1.3231
Subwell 34:Time: 1.2317
Subwell 35:Time: 1.2553
Subwell 36:Time: 1.2012
Subwell 37:Time: 1.1849
Subwell 38:Time: 1.1316
Subwell 39:Time: 1.3353
Subwell 40:Time: 1.2176
Subwell 41:Time: 1.2116
Subwell 42:Time: 1.2079
Subwell 43:Time: 1.1101
Subwell 44:Time: 1.1869
Subwell 45:Time: 1.3958
Subwell 46:Time: 1.2522
Subwell 47:Time: 1.2100
Subwell 48:Time: 1.2240
Subwell 49:Time: 1.2748
Subwell 50:Time: 1.1568
Subwell 51:Time: 1.2524
Subwell 52:Time: 1.2675
Subwell 53:Time: 1.2281
Subwell 54:Time: 1.2133
Subwell 55:Time: 1.1745
Subwell 56:Time: 1.3311
Subwell 57:Time: 1.2703
Subwell 58:Time: 1.3286
Subwell 59:Time: 1.2691
Subwell 60:Time: 1.2493
Subwell 61:Time: 1.2085
Subwell 62:Time: 1.1049
Subwell 63:Time: 1.3076
Subwell 64:Time: 1.2429
Subwell 65:Time: 1.2512
Subwell 66:Time: 1.2674
Subwell 67:Time: 1.2439
Subwell 68:Time: 1.3051
Subwell 69:Time: 1.3911
Subwell 70:Time: 1.2185
Subwell 71:Time: 1.1165
Subwell 72:Time: 1.3552
Subwell 73:Time: 1.4818
Subwell 74:Time: 1.5059
Subwell 75:Time: 1.7037
Subwell 76:Time: 1.5211
Subwell 77:Time: 1.3860
Subwell 78:Time: 1.6420
Subwell 79:Time: 1.1628
Subwell 80:Time: 1.5003
Subwell 81:Time: 1.5499
Subwell 82:Time: 1.4428
Subwell 83:Time: 1.4683
Subwell 84:Time: 1.7138
Subwell 85:Time: 1.1820
Subwell 86:Time: 1.5963
Subwell 87:Time: 1.2612
Subwell 88:Time: 1.4038
Subwell 89:Time: 1.3330
Subwell 90:Time: 1.1645
Subwell 91:Time: 1.2227
Subwell 92:Time: 1.3069
Subwell 93:Time: 1.1912
Subwell 94:Time: 1.2816
Subwell 95:Time: 1.3393
Subwell 96:Time: 1.1961
Subwell 97:Time: 1.3491
Subwell 98:Time: 1.2231
Subwell 99:Time: 1.7564
Subwell 100:Time: 1.7051
Subwell 101:Time: 1.5595
Subwell 102:Time: 3.9092
Subwell 103:Time: 1.4246
Subwell 104:Time: 1.8525
Subwell 105:Time: 1.7592
Subwell 106:Time: 1.5141
Subwell 107:Time: 1.4997
Subwell 108:Time: 1.6126
Subwell 109:Time: 1.2812
Subwell 110:Time: 1.3107
Subwell 111:Time: 1.2582
Subwell 112:Time: 1.2141
Subwell 113:Time: 1.2814
Subwell 114:Time: 1.1996
Subwell 115:Time: 1.2288
Subwell 116:Time: 1.2202
Subwell 117:Time: 1.1216
Subwell 118:Time: 1.2814
Subwell 119:Time: 1.3386
Subwell 120:Time: 1.2575
Subwell 121:Time: 1.4361
Subwell 122:Time: 1.2788
Subwell 123:Time: 1.6525
Subwell 124:Time: 1.4615
Subwell 125:Time: 1.7693
Subwell 126:Time: 1.8091
Subwell 127:Time: 1.3892
Subwell 128:Time: 1.1738
